bin_MSSubClass,MSZoning,Street,Alley,LandContour,LotConfig,bin_Neighborhood,bin_Condition1,bin_Condition2,BldgType,bin_HouseStyle,bin_RoofStyle,bin_RoofMatl,bin_Exterior1st,bin_Exterior2nd,MasVnrType,bin_Foundation,bin_Heating,CentralAir,bin_GarageType,bin_MiscFeature,bin_SaleType,bin_SaleCondition,has_MasVnr,has_2ndFlr,has_LowQualFin,has_WoodDeck,has_OpenPorch,has_EnclosedPorch,has_3SsnPorch,has_ScreenPorch,has_Pool,has_Bsmt,has_Garage,ind_BsmtFinSF1,ind_BsmtFinSF2,ind_MiscVal,ordbin_LotShape,ordbin_LandSlope,ordbin_ExterCond,ordbin_BsmtCond,ordbin_HeatingQC,ordbin_Electrical,ordbin_Functional,ordbin_GarageQual,ordbin_GarageCond,ordbin_PoolQC,ordbin_Fence,ord_ExterQual,ord_BsmtQual,ord_BsmtExposure,ord_BsmtFinType1,ord_BsmtFinType2,ord_KitchenQual,ord_FireplaceQu,ord_GarageFinish,ord_PavedDrive,bin_OverallQual,bin_OverallCond,bin_BsmtFullBath,bin_BsmtHalfBath,bin_FullBath,bin_HalfBath,bin_BedroomAbvGr,bin_KitchenAbvGr,bin_TotRmsAbvGrd,bin_Fireplaces,bin_GarageCars,bin_TotalBath,AgebySale,GarageAge,RemodAge,log_LotFrontage,log_LotArea,log_MasVnrArea,BsmtFinSF1,log_BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,log_1stFlrSF,2ndFlrSF,LowQualFinSF,log_GrLivArea,GarageArea,log_WoodDeckSF,log_OpenPorchSF,EnclosedPorch,3SsnPorch,log_ScreenPorch,log_PoolArea,log_MiscVal,log_TotalLivArea,log_TotalFlrSF,log_TotalPorchSF,SalePrice,log_SalePrice
20,RL,Pave,No alley access,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Detchd,None,WD,Normal,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,TA,No,Rec,Unf,TA,No Fireplace,Unf,Y,2,2,1,0,0,0,1,0,1,0,1,2,43,43.0,43,4.2626798770413155,9.32375833901174,0.0,906,0.0,134,1040,6.947937068614969,0,0,6.947937068614969,384,0.0,0.0,0,0,0.0,0.0,0.0,7.5740450053721995,7.640603826393634,0.0,129500,11.771436160121729
60,RL,Pave,No alley access,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,PConc,GasA,Y,BuiltIn,None,New,Partial,1,1,0,1,1,0,0,0,0,1,1,1,0,0,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Ex,Ex,No,GLQ,Unf,Ex,Gd,Fin,Y,6,2,1,0,1,0,2,0,5,2,3,6,1,1.0,0,4.454347296253507,9.386392315756542,5.659482215759621,998,0.0,177,1175,7.075808863978387,1142,0,7.751475318021456,736,4.997212273764115,3.091042453358316,0,0,0.0,0.0,0.0,8.108623268354595,8.160518247477505,3.091042453358316,345000,12.751299696013497
20,RL,Pave,No alley access,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,CBlock,GasA,Y,Detchd,None,WD,Normal,0,0,0,1,0,0,0,1,0,1,1,1,0,0,IR23,Gtl,TA,TA,TA,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,TA,No,ALQ,Unf,TA,No Fireplace,Unf,Y,2,3,1,0,0,0,0,0,0,0,1,2,46,46.0,46,4.276666119016055,9.470317173335742,0.0,737,0.0,175,912,6.816735880594968,0,0,6.816735880594968,352,4.948759890378168,0.0,0,0,5.176149732573829,0.0,0.0,7.408530566894626,7.509335266016592,5.176149732573829,144000,11.877568578558138
20,RL,Pave,No alley access,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,None,New,Partial,1,0,0,1,1,0,0,0,0,1,1,0,0,0,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Gd,Av,Unf,Unf,Gd,Gd,RFn,Y,4,2,0,0,1,0,1,0,3,1,3,2,1,1.0,0,4.5217885770490405,9.273596821611198,5.726847747587197,0,0.0,1494,1494,7.3098814858247865,0,0,7.3098814858247865,840,5.081404364984463,3.5263605246161616,0,0,0.0,0.0,0.0,7.3098814858247865,8.002694162283937,3.5263605246161616,279500,12.540757571577291
20,RL,Pave,No alley access,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,Attchd,None,WD,Normal,1,0,0,0,1,1,0,0,0,1,1,1,0,0,IR1,Gtl,TA,TA,TA,SBrkr,Typ,TA,TA,No Pool,MnGdWo,TA,TA,No,BLQ,Unf,TA,Fa,RFn,Y,3,2,1,0,0,1,0,0,1,1,1,3,48,48.0,48,4.30406509320417,9.298442820197728,5.3612921657094255,733,0.0,520,1253,7.134093721192866,0,0,7.134093721192866,352,0.0,5.365976015021851,176,0,0.0,0.0,0.0,7.594381242551817,7.826842098158293,5.966146739123692,157000,11.964001084330445
other,RM,Pave,No alley access,Lvl,Corner,BrkSide,Norm,Norm,1Fam,other,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,None,WD,Normal,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Reg,Gtl,TA,TA,Ex,FuseA,Typ,TA,TA,No Pool,GdPrv,TA,TA,No,Unf,Unf,TA,No Fireplace,Unf,Y,4,5,0,0,0,0,0,0,1,0,2,0,78,16.0,6,3.9512437185814275,8.71948076085107,0.0,0,0.0,832,832,6.75110146893676,0,0,6.75110146893676,576,3.8918202981106265,4.727387818712341,0,0,0.0,0.0,0.0,6.75110146893676,7.430707082545968,4.727387818712341,132000,11.790557201568507
20,RL,Pave,No alley access,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,Shed,WD,Normal,1,0,0,0,0,0,0,0,0,1,1,1,0,1,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,TA,No,ALQ,Unf,TA,TA,Fin,Y,3,4,1,0,0,0,0,0,1,1,2,2,40,40.0,40,4.30406509320417,9.32741204356202,5.198497031265826,578,0.0,426,1004,6.912742820493176,0,0,6.912742820493176,480,0.0,0.0,0,0,0.0,0.0,6.55250788703459,7.367077059881012,7.605392364814935,0.0,149000,11.911701584927597
90,RL,Pave,No alley access,Lvl,Inside,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,None,Slab,GasA,Y,other,Shed,WD,Normal,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Reg,Gtl,TA,NoPo,TA,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,No Basement,No Basement,No Basement,No Basement,TA,No Fireplace,Unf,Y,1,2,0,0,1,0,0,1,2,0,2,2,39,39.0,39,4.290459441148391,9.286560397887591,0.0,0,0.0,0,0,7.167809184316444,0,0,7.167809184316444,516,0.0,0.0,0,0,0.0,0.0,6.2166061010848646,7.167809184316444,7.167809184316444,0.0,90000,11.407564949312402
20,RL,Pave,No alley access,Lvl,Inside,SawyerW,other,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Detchd,None,WD,Normal,0,0,0,0,1,0,0,0,0,1,1,1,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,TA,No,GLQ,Unf,Gd,No Fireplace,Unf,Y,2,2,1,0,0,1,1,0,2,0,2,3,4,4.0,4,4.204692619390966,9.524859098381523,0.0,646,0.0,468,1114,7.016609683894219,0,0,7.016609683894219,576,0.0,4.634728988229636,0,0,0.0,0.0,0.0,7.473637108496206,7.709308333385869,4.634728988229636,159000,11.976659481202368
20,RL,Pave,No alley access,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,CBlock,GasA,Y,Attchd,None,COD,Abnorml,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Reg,Gtl,TA,TA,TA,SBrkr,Min1,TA,TA,No Pool,MnPrv,TA,TA,No,LwQ,Unf,TA,No Fireplace,Unf,Y,2,3,0,0,0,0,1,0,2,0,1,0,51,51.0,44,4.2626798770413155,8.93075873555827,0.0,504,0.0,525,1029,7.200424892944957,0,0,7.200424892944957,294,0.0,0.0,0,0,0.0,0.0,0.0,7.519692404116539,7.7702232041587855,0.0,139000,11.842229212112828
60,RL,Pave,No alley access,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,BuiltIn,None,New,Partial,1,1,0,1,1,0,0,0,0,1,1,0,0,0,IR1,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Ex,Av,Unf,Unf,Gd,Gd,RFn,Y,5,2,0,0,1,1,2,0,5,1,3,5,1,1.0,0,4.624972813284271,9.562123369834488,5.942799375126701,0,0.0,1158,1158,7.055312843339752,1218,0,7.773594467360194,853,5.484796933490655,5.043425116919247,0,0,0.0,0.0,0.0,7.773594467360194,8.170468578330674,5.043425116919247,325300,12.692503112461443
other,RM,Pave,Grvl,Bnk,Inside,IDOTRR,Norm,Norm,1Fam,other,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,Attchd,None,WD,Normal,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Reg,Gtl,TA,TA,Ex,MiFuPF,Typ,TA,TA,No Pool,GdPrv,TA,TA,No,Unf,Unf,Gd,Gd,Unf,N,4,4,0,0,0,0,1,0,2,1,1,0,77,77.0,57,4.060443010546419,8.915969311373605,0.0,0,0.0,637,637,7.011213987350367,0,0,7.011213987350367,280,0.0,0.0,205,0,0.0,0.0,0.0,7.011213987350367,7.465082736399547,5.327876168789581,139400,11.845102777308561
20,RL,Pave,No alley access,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,None,WD,Normal,1,0,0,1,1,0,0,0,0,1,1,0,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Gd,No,Unf,Unf,Gd,Gd,RFn,Y,5,2,0,0,1,0,1,0,3,1,2,2,6,6.0,6,4.330733340286331,9.184304357425342,5.641907070938114,0,0.0,1777,1777,7.493317248862145,0,0,7.493317248862145,534,5.147494476813453,5.075173815233827,0,0,0.0,0.0,0.0,7.493317248862145,8.181160858023409,5.075173815233827,230000,12.345834587905333
120,RM,Pave,No alley access,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,Attchd,None,WD,Normal,0,0,0,1,1,0,0,0,0,1,1,1,0,0,Reg,Gtl,TA,TA,TA,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,Gd,No,GLQ,Unf,TA,TA,Unf,Y,2,4,1,0,0,0,1,0,2,1,2,2,31,31.0,31,3.8066624897703196,8.348774539791274,0.0,840,0.0,200,1040,6.966967138613983,0,0,6.966967138613983,572,4.61512051684126,4.709530201312334,0,0,0.0,0.0,0.0,7.550135342488429,7.650168700845001,4.709530201312334,129900,11.77452020265869
20,RL,Pave,No alley access,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,Attchd,None,WD,Normal,0,0,0,1,1,0,0,0,0,1,1,1,1,0,IR1,Gtl,GdEx,TA,Ex,SBrkr,Typ,TA,TA,No Pool,MnPrv,TA,TA,Mn,Rec,ALQ,Gd,TA,Unf,Y,2,5,1,0,0,0,1,0,2,1,1,2,42,42.0,9,4.276666119016055,9.017604776833355,0.0,188,6.505784060128229,204,1060,6.966967138613983,0,0,6.966967138613983,270,6.008813185442595,4.51085950651685,0,0,0.0,0.0,0.0,7.558516743045645,7.659642954564682,4.51085950651685,154000,11.944707881395766
20,RL,Pave,No alley access,Lvl,Corner,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,None,WD,Normal,1,0,0,0,1,0,0,0,0,1,1,0,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Gd,No,Unf,Unf,Gd,Gd,RFn,Y,5,2,0,0,1,0,1,0,3,1,3,2,2,2.0,2,4.709530201312334,9.56317796268366,6.46302945692067,0,0.0,1566,1566,7.3783837129967145,0,0,7.3783837129967145,890,0.0,4.04305126783455,0,0,0.0,0.0,0.0,7.3783837129967145,8.06054004653864,4.04305126783455,256300,12.454103912352162
20,RL,Pave,No alley access,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,None,WD,Normal,0,0,0,1,1,0,0,0,0,1,1,1,1,0,Reg,Gtl,TA,TA,TA,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,TA,Mn,BLQ,Rec,Gd,No Fireplace,Unf,Y,2,4,0,1,0,0,1,0,1,0,2,1,59,5.0,10,4.110873864173311,8.881975184248867,0.0,234,6.18826412308259,180,900,6.803505257608338,0,0,6.803505257608338,576,5.407171771460119,3.4965075614664802,0,0,0.0,0.0,0.0,7.390798521735676,7.496097345175956,3.4965075614664802,134800,11.811547477460344
20,RL,Pave,No alley access,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,None,WD,Normal,1,0,0,0,1,0,0,0,0,1,1,1,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Ex,No,GLQ,Unf,Gd,Gd,RFn,Y,5,2,1,0,1,0,1,0,3,1,3,4,3,2.0,2,4.59511985013459,9.348274558065496,5.303304908059076,1218,0.0,486,1704,7.4413203897176174,0,0,7.4413203897176174,772,0.0,3.9318256327243257,0,0,0.0,0.0,0.0,7.980365765111246,8.134174272137903,3.9318256327243257,306000,12.631340380934517
20,RL,Pave,No alley access,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Attchd,None,WD,Normal,0,0,0,1,1,0,0,0,0,1,1,1,0,0,IR1,Gtl,TA,TA,TA,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,TA,Gd,BLQ,Unf,TA,Gd,RFn,Y,2,3,1,0,0,0,0,0,2,2,1,2,49,49.0,9,3.871201010907891,9.700269170029188,0.0,1277,0.0,207,1484,7.3783837129967145,0,0,7.3783837129967145,319,5.666426688112432,5.556828061699537,0,0,0.0,0.0,0.0,7.964850887447313,8.034306936339489,5.556828061699537,207500,12.24288661865289
30,RM,Pave,No alley access,Lvl,Inside,BrkSide,Feedr,other,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,N,Detchd,None,WD,Normal,0,0,0,1,0,1,0,0,0,1,1,0,0,0,IR1,Gtl,TA,TA,PoFa,SBrkr,Typ,PoFa,TA,No Pool,No Fence,TA,TA,No,Unf,Unf,Fa,No Fireplace,Unf,Y,1,3,0,0,0,0,0,0,0,0,1,0,81,88.0,58,4.110873864173311,8.752265313595721,0.0,0,0.0,520,520,6.255750041753367,0,0,6.255750041753367,240,3.912023005428146,0.0,87,0,0.0,0.0,0.0,6.255750041753367,6.947937068614969,4.477336814478207,68500,11.134589024250317
70,C (all),Pave,Pave,Lvl,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,other,CompShg,BrkFace,BrkFace,None,BrkTil,GasA,N,Detchd,None,WD,Normal,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Reg,Gtl,PoFa,TA,TA,SBrkr,Typ,TA,PoFa,No Pool,MnPrv,TA,TA,No,Unf,Unf,TA,No Fireplace,Unf,N,1,1,0,0,0,0,1,0,2,0,1,0,88,88.0,58,3.9318256327243257,9.04793908261736,0.0,0,0.0,649,649,6.476972362889683,668,0,7.183870715062453,250,0.0,4.007333185232471,172,0,0.0,0.0,0.0,7.183870715062453,7.584264818389059,5.424950017481403,40000,10.596634733096073
20,RL,Pave,No alley access,Lvl,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Attchd,None,WD,Normal,0,0,0,0,1,0,0,0,0,1,1,0,0,0,IR1,Gtl,TA,TA,Gd,SBrkr,Typ,TA,TA,No Pool,MnPrv,TA,TA,No,Unf,Unf,Gd,No Fireplace,Unf,Y,2,3,0,0,0,1,1,0,2,0,1,1,42,42.0,2,4.276666119016055,9.053101595549691,0.0,0,0.0,1228,1228,7.113956109566034,0,0,7.113956109566034,271,0.0,4.189654742026425,0,0,0.0,0.0,0.0,7.113956109566034,7.806696372521179,4.189654742026425,149350,11.914047823644255
20,RL,Pave,No alley access,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,None,WD,Normal,0,0,0,0,1,0,0,0,0,1,1,0,0,0,Reg,Gtl,TA,TA,Ex,SBrkr,Typ,TA,TA,No Pool,No Fence,Gd,Ex,Av,Unf,Unf,Gd,No Fireplace,RFn,Y,5,2,0,0,1,0,1,0,3,0,2,2,1,1.0,1,4.454347296253507,9.3101857069459,0.0,0,0.0,1234,1234,7.118826249062078,0,0,7.118826249062078,484,0.0,3.4339872044851463,0,0,0.0,0.0,0.0,7.118826249062078,7.81156848934518,3.4339872044851463,179900,12.100156419938624
20,RL,Pave,No alley access,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,Attchd,None,WD,Normal,0,0,0,0,1,0,0,0,0,1,1,1,0,0,IR1,Gtl,TA,TA,Gd,SBrkr,Typ,TA,TA,No Pool,No Fence,TA,TA,No,Rec,Unf,Gd,Gd,RFn,Y,2,2,0,1,0,1,2,0,2,1,2,2,51,51.0,51,4.2626798770413155,9.26416545867109,0.0,1018,0.0,380,1398,7.438971592395862,0,0,7.438971592395862,447,0.0,3.6635616461296463,0,0,0.0,0.0,0.0,7.908019444632471,8.038834757787749,3.6635616461296463,165500,12.016726473799254
